stationname	date	rides
28278	O'Hare Airport	2018-05-06	10924
28428	O'Hare Airport	2018-05-26	11585
28508	O'Hare Airport	2018-05-16	11581
28573	O'Hare Airport	2018-06-23	10358
28743	O'Hare Airport	2018-04-23	11328
28812	O'Hare Airport	2018-05-18	13898
28948	O'Hare Airport	2018-04-01	9382
28985	O'Hare Airport	2018-06-27	12563
29010	O'Hare Airport	2018-05-27	9580
29671	O'Hare Airport	2018-04-05	11084
29755	O'Hare Airport	2018-05-15	12154
29822	O'Hare Airport	2018-05-13	11514
29899	O'Hare Airport	2018-05-21	12303
29915	O'Hare Airport	2018-06-16	9831
30134	O'Hare Airport	2018-04-18	10067
30198	O'Hare Airport	2018-04-24	10391
30329	O'Hare Airport	2018-05-31	12516
30492	O'Hare Airport	2018-06-20	12786
30531	O'Hare Airport	2018-04-21	8650
33172	O'Hare Airport	2018-07-01	9817
33173	O'Hare Airport	2018-07-02	11769
33174	O'Hare Airport	2018-07-03	11178
33175	O'Hare Airport	2018-07-04	10597
33176	O'Hare Airport	2018-07-05	11408
33177	O'Hare Airport	2018-07-06	12861
33178	O'Hare Airport	2018-07-07	10041
33179	O'Hare Airport	2018-07-08	12604
33180	O'Hare Airport	2018-07-09	12776
33181	O'Hare Airport	2018-07-10	11332
33182	O'Hare Airport	2018-07-11	12306
33183	O'Hare Airport	2018-07-12	13371
33184	O'Hare Airport	2018-07-13	15008
33185	O'Hare Airport	2018-07-14	10332
33186	O'Hare Airport	2018-07-15	12180
33187	O'Hare Airport	2018-07-16	11811
33188	O'Hare Airport	2018-07-17	11375
33189	O'Hare Airport	2018-07-18	12589
33190	O'Hare Airport	2018-07-19	15141
33191	O'Hare Airport	2018-07-20	15372
33192	O'Hare Airport	2018-07-21	10589
33193	O'Hare Airport	2018-07-22	11636
33194	O'Hare Airport	2018-07-23	12752
33195	O'Hare Airport	2018-07-24	12078
33196	O'Hare Airport	2018-07-25	11948
33197	O'Hare Airport	2018-07-26	13551
33198	O'Hare Airport	2018-07-27	14128
33199	O'Hare Airport	2018-07-28	10353
33200	O'Hare Airport	2018-07-29	11943
33201	O'Hare Airport	2018-07-30	12585
33202	O'Hare Airport	2018-07-31	11747
37646	O'Hare Airport	2018-08-01	13193
37647	O'Hare Airport	2018-08-02	14426
37648	O'Hare Airport	2018-08-03	14303
37649	O'Hare Airport	2018-08-04	10278
37650	O'Hare Airport	2018-08-05	11601
37651	O'Hare Airport	2018-08-06	12180
37652	O'Hare Airport	2018-08-07	10955
37653	O'Hare Airport	2018-08-08	12142
37654	O'Hare Airport	2018-08-09	14127
37655	O'Hare Airport	2018-08-10	16095
37656	O'Hare Airport	2018-08-11	10294
37657	O'Hare Airport	2018-08-12	11711
37658	O'Hare Airport	2018-08-13	11254
37659	O'Hare Airport	2018-08-14	11777
37660	O'Hare Airport	2018-08-15	11586
37661	O'Hare Airport	2018-08-16	12983
37662	O'Hare Airport	2018-08-17	14455
37663	O'Hare Airport	2018-08-18	10845
37664	O'Hare Airport	2018-08-19	11728
37665	O'Hare Airport	2018-08-20	11348
37666	O'Hare Airport	2018-08-21	12391
37667	O'Hare Airport	2018-08-22	11559
37668	O'Hare Airport	2018-08-23	13872
37669	O'Hare Airport	2018-08-24	13737
37670	O'Hare Airport	2018-08-25	10026
37671	O'Hare Airport	2018-08-26	11728
37672	O'Hare Airport	2018-08-27	12362
37673	O'Hare Airport	2018-08-28	9898
37674	O'Hare Airport	2018-08-29	11377
37675	O'Hare Airport	2018-08-30	13053
37676	O'Hare Airport	2018-08-31	15265
42028	O'Hare Airport	2018-09-01	10918
42029	O'Hare Airport	2018-09-02	9869
42030	O'Hare Airport	2018-09-03	12096
42031	O'Hare Airport	2018-09-04	14460
42032	O'Hare Airport	2018-09-05	10455
42033	O'Hare Airport	2018-09-06	11452
42034	O'Hare Airport	2018-09-07	12734
42035	O'Hare Airport	2018-09-08	9573
42036	O'Hare Airport	2018-09-09	11308
42037	O'Hare Airport	2018-09-10	12356
42038	O'Hare Airport	2018-09-11	10748
42039	O'Hare Airport	2018-09-12	11305
42040	O'Hare Airport	2018-09-13	13594
42041	O'Hare Airport	2018-09-14	14189
42042	O'Hare Airport	2018-09-15	9936
42043	O'Hare Airport	2018-09-16	11153
42044	O'Hare Airport	2018-09-17	12042
42045	O'Hare Airport	2018-09-18	9846
42046	O'Hare Airport	2018-09-19	10638
42047	O'Hare Airport	2018-09-20	13226
42048	O'Hare Airport	2018-09-21	14575
42049	O'Hare Airport	2018-09-22	9808
42050	O'Hare Airport	2018-09-23	11441
42051	O'Hare Airport	2018-09-24	12629
42052	O'Hare Airport	2018-09-25	10350
42053	O'Hare Airport	2018-09-26	11516
42054	O'Hare Airport	2018-09-27	14230
42055	O'Hare Airport	2018-09-28	15489
42056	O'Hare Airport	2018-09-29	9783
42057	O'Hare Airport	2018-09-30	11430
46444	O'Hare Airport	2018-10-01	11946
46445	O'Hare Airport	2018-10-02	11199
46446	O'Hare Airport	2018-10-03	12534
46447	O'Hare Airport	2018-10-04	16072
46448	O'Hare Airport	2018-10-05	17788
46449	O'Hare Airport	2018-10-06	12223
46450	O'Hare Airport	2018-10-07	11523
46451	O'Hare Airport	2018-10-08	12804
46452	O'Hare Airport	2018-10-09	11264
46453	O'Hare Airport	2018-10-10	11266
46454	O'Hare Airport	2018-10-11	12349
46455	O'Hare Airport	2018-10-12	14373
46456	O'Hare Airport	2018-10-13	9858
46457	O'Hare Airport	2018-10-14	11723
46458	O'Hare Airport	2018-10-15	12651
46459	O'Hare Airport	2018-10-16	11157
46460	O'Hare Airport	2018-10-17	11522
46461	O'Hare Airport	2018-10-18	14164
46462	O'Hare Airport	2018-10-19	14320
46463	O'Hare Airport	2018-10-20	9817
46464	O'Hare Airport	2018-10-21	11507
46465	O'Hare Airport	2018-10-22	12371
46466	O'Hare Airport	2018-10-23	10468
46467	O'Hare Airport	2018-10-24	10610
46468	O'Hare Airport	2018-10-25	13345
46469	O'Hare Airport	2018-10-26	14355
46470	O'Hare Airport	2018-10-27	9513
46471	O'Hare Airport	2018-10-28	10636
46472	O'Hare Airport	2018-10-29	11708
46473	O'Hare Airport	2018-10-30	9474
46474	O'Hare Airport	2018-10-31	9394
50739	O'Hare Airport	2018-11-01	11936
50740	O'Hare Airport	2018-11-02	13228
50741	O'Hare Airport	2018-11-03	8537
50742	O'Hare Airport	2018-11-04	10106
50743	O'Hare Airport	2018-11-05	11382
50744	O'Hare Airport	2018-11-06	9660
50745	O'Hare Airport	2018-11-07	10393
50746	O'Hare Airport	2018-11-08	12845
50747	O'Hare Airport	2018-11-09	14162
50748	O'Hare Airport	2018-11-10	8979
50749	O'Hare Airport	2018-11-11	10109
50750	O'Hare Airport	2018-11-12	9152
50751	O'Hare Airport	2018-11-13	10472
50752	O'Hare Airport	2018-11-14	10144
50753	O'Hare Airport	2018-11-15	11626
50754	O'Hare Airport	2018-11-16	13379
50755	O'Hare Airport	2018-11-17	9151
50756	O'Hare Airport	2018-11-18	9338
50757	O'Hare Airport	2018-11-19	10448
50758	O'Hare Airport	2018-11-20	11030
50759	O'Hare Airport	2018-11-21	12310
50760	O'Hare Airport	2018-11-22	7765
50761	O'Hare Airport	2018-11-23	9739
50762	O'Hare Airport	2018-11-24	12745
50763	O'Hare Airport	2018-11-25	14327
50764	O'Hare Airport	2018-11-26	12932
50765	O'Hare Airport	2018-11-27	13899
50766	O'Hare Airport	2018-11-28	10393
50767	O'Hare Airport	2018-11-29	11347
50768	O'Hare Airport	2018-11-30	11900
55165	O'Hare Airport	2018-12-01	7860
55166	O'Hare Airport	2018-12-02	9234
55167	O'Hare Airport	2018-12-03	10616
55168	O'Hare Airport	2018-12-04	9101
55169	O'Hare Airport	2018-12-05	9522
55170	O'Hare Airport	2018-12-06	11280
55171	O'Hare Airport	2018-12-07	12073
55172	O'Hare Airport	2018-12-08	8361
55173	O'Hare Airport	2018-12-09	9351
55174	O'Hare Airport	2018-12-10	10649
55175	O'Hare Airport	2018-12-11	9604
55176	O'Hare Airport	2018-12-12	9882
55177	O'Hare Airport	2018-12-13	11449
55178	O'Hare Airport	2018-12-14	11836
55179	O'Hare Airport	2018-12-15	8659
55180	O'Hare Airport	2018-12-16	9107
55181	O'Hare Airport	2018-12-17	10645
55182	O'Hare Airport	2018-12-18	10162
55183	O'Hare Airport	2018-12-19	10471
55184	O'Hare Airport	2018-12-20	10490
55185	O'Hare Airport	2018-12-21	10705
55186	O'Hare Airport	2018-12-22	8331
55187	O'Hare Airport	2018-12-23	7823
55188	O'Hare Airport	2018-12-24	7495
55189	O'Hare Airport	2018-12-25	7752
55190	O'Hare Airport	2018-12-26	12820
55191	O'Hare Airport	2018-12-27	11910
55192	O'Hare Airport	2018-12-28	11819
55193	O'Hare Airport	2018-12-29	10074
55194	O'Hare Airport	2018-12-30	10149
55195	O'Hare Airport	2018-12-31	8820
59642	O'Hare Airport	2019-01-01	9550
59643	O'Hare Airport	2019-01-02	10681
59644	O'Hare Airport	2019-01-03	10437
59645	O'Hare Airport	2019-01-04	9986
59646	O'Hare Airport	2019-01-05	8161
59647	O'Hare Airport	2019-01-06	8691
59648	O'Hare Airport	2019-01-07	9569
59649	O'Hare Airport	2019-01-08	8793
59650	O'Hare Airport	2019-01-09	9176
59651	O'Hare Airport	2019-01-10	10045
59652	O'Hare Airport	2019-01-11	10063
59653	O'Hare Airport	2019-01-12	7712
59654	O'Hare Airport	2019-01-13	8561
59655	O'Hare Airport	2019-01-14	9588
59656	O'Hare Airport	2019-01-15	8673
59657	O'Hare Airport	2019-01-16	8509
59658	O'Hare Airport	2019-01-17	9496
59659	O'Hare Airport	2019-01-18	11481
59660	O'Hare Airport	2019-01-19	6495
59661	O'Hare Airport	2019-01-20	8024
59662	O'Hare Airport	2019-01-21	9716
59663	O'Hare Airport	2019-01-22	8653
59664	O'Hare Airport	2019-01-23	9110
59665	O'Hare Airport	2019-01-24	8781
59666	O'Hare Airport	2019-01-25	9137
59667	O'Hare Airport	2019-01-26	6565
59668	O'Hare Airport	2019-01-27	8206
59669	O'Hare Airport	2019-01-28	7932
59670	O'Hare Airport	2019-01-29	7908
59671	O'Hare Airport	2019-01-30	4041
59672	O'Hare Airport	2019-01-31	5916
63846	O'Hare Airport	2019-02-01	9674
63847	O'Hare Airport	2019-02-02	6968
63848	O'Hare Airport	2019-02-03	8030
63849	O'Hare Airport	2019-02-04	10000
63850	O'Hare Airport	2019-02-05	8212
63851	O'Hare Airport	2019-02-06	8794
63852	O'Hare Airport	2019-02-07	9484
63853	O'Hare Airport	2019-02-08	9811
63854	O'Hare Airport	2019-02-09	7005
63855	O'Hare Airport	2019-02-10	8220
63856	O'Hare Airport	2019-02-11	9744
63857	O'Hare Airport	2019-02-12	8609
63858	O'Hare Airport	2019-02-13	8734
63859	O'Hare Airport	2019-02-14	10484
63860	O'Hare Airport	2019-02-15	11185
63861	O'Hare Airport	2019-02-16	7630
63862	O'Hare Airport	2019-02-17	6977
63863	O'Hare Airport	2019-02-18	10986
63864	O'Hare Airport	2019-02-19	9666
63865	O'Hare Airport	2019-02-20	8681
63866	O'Hare Airport	2019-02-21	10246
63867	O'Hare Airport	2019-02-22	10495
63868	O'Hare Airport	2019-02-23	6967
63869	O'Hare Airport	2019-02-24	8470
63870	O'Hare Airport	2019-02-25	10004
63871	O'Hare Airport	2019-02-26	8791
63872	O'Hare Airport	2019-02-27	8800
63873	O'Hare Airport	2019-02-28	9964
68093	O'Hare Airport	2019-03-01	10968
68094	O'Hare Airport	2019-03-02	7762
68095	O'Hare Airport	2019-03-03	9041
68096	O'Hare Airport	2019-03-04	9690
68097	O'Hare Airport	2019-03-05	9056
68098	O'Hare Airport	2019-03-06	9209
68099	O'Hare Airport	2019-03-07	10067
68100	O'Hare Airport	2019-03-08	10756
68101	O'Hare Airport	2019-03-09	7786
68102	O'Hare Airport	2019-03-10	9013
68103	O'Hare Airport	2019-03-11	10814
68104	O'Hare Airport	2019-03-12	8008
