station_id	stationname	date	daytype	rides
55183	40890	O'Hare Airport	2018-12-19	W	10471
55184	40890	O'Hare Airport	2018-12-20	W	10490
55185	40890	O'Hare Airport	2018-12-21	W	10705
55186	40890	O'Hare Airport	2018-12-22	A	8331
55187	40890	O'Hare Airport	2018-12-23	U	7823
55188	40890	O'Hare Airport	2018-12-24	W	7495
55189	40890	O'Hare Airport	2018-12-25	U	7752
55190	40890	O'Hare Airport	2018-12-26	W	12820
55191	40890	O'Hare Airport	2018-12-27	W	11910
55192	40890	O'Hare Airport	2018-12-28	W	11819
55193	40890	O'Hare Airport	2018-12-29	A	10074
55194	40890	O'Hare Airport	2018-12-30	U	10149
55195	40890	O'Hare Airport	2018-12-31	W	8820
59642	40890	O'Hare Airport	2019-01-01	U	9550
59643	40890	O'Hare Airport	2019-01-02	W	10681
59644	40890	O'Hare Airport	2019-01-03	W	10437
59645	40890	O'Hare Airport	2019-01-04	W	9986
59646	40890	O'Hare Airport	2019-01-05	A	8161
59647	40890	O'Hare Airport	2019-01-06	U	8691
59648	40890	O'Hare Airport	2019-01-07	W	9569
59649	40890	O'Hare Airport	2019-01-08	W	8793
59650	40890	O'Hare Airport	2019-01-09	W	9176
59651	40890	O'Hare Airport	2019-01-10	W	10045
59652	40890	O'Hare Airport	2019-01-11	W	10063
59653	40890	O'Hare Airport	2019-01-12	A	7712
59654	40890	O'Hare Airport	2019-01-13	U	8561
59655	40890	O'Hare Airport	2019-01-14	W	9588
59656	40890	O'Hare Airport	2019-01-15	W	8673
59657	40890	O'Hare Airport	2019-01-16	W	8509
59658	40890	O'Hare Airport	2019-01-17	W	9496
59659	40890	O'Hare Airport	2019-01-18	W	11481
59660	40890	O'Hare Airport	2019-01-19	A	6495
59661	40890	O'Hare Airport	2019-01-20	U	8024
59662	40890	O'Hare Airport	2019-01-21	W	9716
59663	40890	O'Hare Airport	2019-01-22	W	8653
59664	40890	O'Hare Airport	2019-01-23	W	9110
59665	40890	O'Hare Airport	2019-01-24	W	8781
59666	40890	O'Hare Airport	2019-01-25	W	9137
59667	40890	O'Hare Airport	2019-01-26	A	6565
59668	40890	O'Hare Airport	2019-01-27	U	8206
59669	40890	O'Hare Airport	2019-01-28	W	7932
59670	40890	O'Hare Airport	2019-01-29	W	7908
59671	40890	O'Hare Airport	2019-01-30	W	4041
59672	40890	O'Hare Airport	2019-01-31	W	5916
63846	40890	O'Hare Airport	2019-02-01	W	9674
63847	40890	O'Hare Airport	2019-02-02	A	6968
63848	40890	O'Hare Airport	2019-02-03	U	8030
63849	40890	O'Hare Airport	2019-02-04	W	10000
63850	40890	O'Hare Airport	2019-02-05	W	8212
63851	40890	O'Hare Airport	2019-02-06	W	8794
63852	40890	O'Hare Airport	2019-02-07	W	9484
63853	40890	O'Hare Airport	2019-02-08	W	9811
63854	40890	O'Hare Airport	2019-02-09	A	7005
63855	40890	O'Hare Airport	2019-02-10	U	8220
63856	40890	O'Hare Airport	2019-02-11	W	9744
63857	40890	O'Hare Airport	2019-02-12	W	8609
63858	40890	O'Hare Airport	2019-02-13	W	8734
63859	40890	O'Hare Airport	2019-02-14	W	10484
63860	40890	O'Hare Airport	2019-02-15	W	11185
63861	40890	O'Hare Airport	2019-02-16	A	7630
63862	40890	O'Hare Airport	2019-02-17	U	6977
63863	40890	O'Hare Airport	2019-02-18	W	10986
63864	40890	O'Hare Airport	2019-02-19	W	9666
63865	40890	O'Hare Airport	2019-02-20	W	8681
63866	40890	O'Hare Airport	2019-02-21	W	10246
