station_id	stationname	date	daytype	rides
25120	40590	Damen/Milwaukee	2018-06-02	A	5228
25123	40590	Damen/Milwaukee	2018-05-16	W	6716
25295	40590	Damen/Milwaukee	2018-06-21	W	6103
25579	40590	Damen/Milwaukee	2018-06-25	W	6511
25646	40590	Damen/Milwaukee	2018-05-19	A	4229
25836	40590	Damen/Milwaukee	2018-04-30	W	6399
25945	40590	Damen/Milwaukee	2018-05-10	W	6969
26133	40590	Damen/Milwaukee	2018-05-21	W	5809
26247	40590	Damen/Milwaukee	2018-06-22	W	6462
26326	40590	Damen/Milwaukee	2018-06-12	W	6910
26390	40590	Damen/Milwaukee	2018-06-30	A	4526
26710	40590	Damen/Milwaukee	2018-04-06	W	6586
26712	40590	Damen/Milwaukee	2018-04-07	A	4371
26782	40590	Damen/Milwaukee	2018-05-29	W	6227
26834	40590	Damen/Milwaukee	2018-05-11	W	6998
26866	40590	Damen/Milwaukee	2018-05-18	W	6864
27089	40590	Damen/Milwaukee	2018-06-05	W	6735
27282	40590	Damen/Milwaukee	2018-06-06	W	6809
27304	40590	Damen/Milwaukee	2018-04-27	W	6833
27409	40590	Damen/Milwaukee	2018-06-28	W	6914
28199	40590	Damen/Milwaukee	2018-06-11	W	6679
28499	40590	Damen/Milwaukee	2018-04-14	A	3807
28758	40590	Damen/Milwaukee	2018-05-07	W	6450
28766	40590	Damen/Milwaukee	2018-05-17	W	6810
28807	40590	Damen/Milwaukee	2018-06-19	W	6894
28873	40590	Damen/Milwaukee	2018-04-12	W	6876
29084	40590	Damen/Milwaukee	2018-05-30	W	6478
29151	40590	Damen/Milwaukee	2018-04-08	U	3013
29335	40590	Damen/Milwaukee	2018-04-04	W	6185
29336	40590	Damen/Milwaukee	2018-04-17	W	6351
29499	40590	Damen/Milwaukee	2018-04-10	W	6318
29551	40590	Damen/Milwaukee	2018-05-12	A	3842
29727	40590	Damen/Milwaukee	2018-04-19	W	6642
29910	40590	Damen/Milwaukee	2018-05-08	W	6695
30124	40590	Damen/Milwaukee	2018-04-25	W	6535
30264	40590	Damen/Milwaukee	2018-06-14	W	7077
30325	40590	Damen/Milwaukee	2018-04-03	W	6007
30561	40590	Damen/Milwaukee	2018-05-20	U	3068
30590	40590	Damen/Milwaukee	2018-06-16	A	4589
32335	40590	Damen/Milwaukee	2018-07-01	U	3103
32336	40590	Damen/Milwaukee	2018-07-02	W	6377
32337	40590	Damen/Milwaukee	2018-07-03	W	6206
